COUNTRY;SEED STAGE;STARTUP STAGE;GROWTH STAGE;LATER STAGE;STEADY STAGE;NONE;NO INPUT
AUT;14.20%;44.30%;33.60%;11.00%;2.20%;4.60%;NA
BEL;3.70%;51.90%;37.00%;0.00%;1.20%;4.90%;1.20%
CZE;11.10%;48.10%;37.00%;3.70%;0.00%;0.00%;0.00%
DNK;10.60%;36.20%;51.10%;0.00%;0.00%;0.00%;2.10%
FRA;8.60%;45.70%;37.10%;1.40%;5.70%;1.40%;0.00%
DEU;15.60%;39.50%;39.00%;1.50%;2.90%;1.50%;0.00%
GRC;24.40%;53.70%;17.10%;0.00%;4.90%;0.00%;0.00%
HUN;39.50%;28.90%;23.70%;0.00%;2.60%;2.60%;2.60%
IRL;11.30%;46.00%;33.90%;4.80%;2.40%;0.80%;0.80%
ITA;13.90%;55.80%;23.00%;2.40%;3.00%;0.00%;1.80%
NLD;9.70%;45.80%;37.50%;1.40%;5.60%;0.00%;0.00%
POL;16.90%;53.50%;23.90%;0.00%;4.20%;1.40%;0.00%
PRT;16.70%;51.30%;25.60%;0.00%;5.10%;1.30%;0.00%
SVK;14.70%;23.50%;50.00%;2.90%;5.90%;2.90%;0.00%
SVN;19.40%;30.60%;38.90%;2.80%;5.60%;2.80%;0.00%
ESP;10.40%;56.30%;24.00%;10.00%;4.20%;3.10%;1.00%
SWE;7.80%;45.10%;45.10%;0.00%;0.00%;0.00%;2.00%
UK;8.70%;37.70%;47.80%;1.40%;4.30%;0.00%;0.00%
EU average;13.20%;46.10%;33.70%;1.50%;3.30%;1.50%;0.70%
ISR;19.60%;53.60%;19.60%;0.00%;0.00%;5.40%;1.80%
CHE;13.50%;50.00%;31.80%;0.70%;0.70%;2.00%;1.40%
TUR;31.00%;40.50%;19.00%;2.40%;2.40%;2.40%;2.40%
;;;;;;;
;;;;;;;
Source: EU Startup Monitor (2018);;;;;;;
http://startupmonitor.eu/EU-Startup-Monitor-2018-Report-WEB.pdf;;;;;;;
